date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:04	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:04%20GMT	https://syncbinancnt.online/robots.txt		(from )
21:20:05	130185/130185	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2020:20:04%20GMT	https://syncbinancnt.online/	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/index.html	(from )
21:20:06	7177/7177	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfec622cb3d70b9fc5fbfd22bb4920f5%22	https://static.binancecnt.com/static/chunks/page-0042.444c42c3.js	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/chunks/page-0042.444c42c3.js	(from https://syncbinancnt.online/)
21:20:06	117749/117749	---MCZ	200	added ('OK')	text/css	etag:W/%22c4e2c8c58c1926df7c49da8a455b65b3%22	https://static.binancecnt.com/static/css/b679b1b6.css	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/css/b679b1b6.css	(from https://syncbinancnt.online/)
21:20:06	1401/1401	---MCZ	200	added ('OK')	text/css	etag:W/%22be9f189ae23508f9ddd04fae65010f79%22	https://static.binancecnt.com/static/fonts/index.min.css	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/fonts/index.min.css	(from https://syncbinancnt.online/)
21:20:07	12188/12188	---MCZ	200	added ('OK')	text/css	etag:W/%224a26caec5231bca89355fe677287852b%22	https://static.binancecnt.com/static/fonts/font.min.css	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/fonts/font.min.css	(from https://syncbinancnt.online/)
21:20:07	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:07%20GMT	https://syncbinancnt.online/en/business	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/business	(from https://syncbinancnt.online/)
21:20:07	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:07%20GMT	https://syncbinancnt.online/en/business/partner-us	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/business/partner-us	(from https://syncbinancnt.online/)
21:20:08	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:08%20GMT	https://syncbinancnt.online/en/auth/merchant/login	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/auth/merchant/login	(from https://syncbinancnt.online/)
21:20:08	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:08%20GMT	https://syncbinancnt.online/en/buy-sell-crypto	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/buy-sell-crypto	(from https://syncbinancnt.online/)
21:20:09	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:09%20GMT	https://syncbinancnt.online/en/about/	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/about/index.html	(from https://syncbinancnt.online/)
21:20:10	57875/57875	---M--	200	added ('OK')	image/png	etag:%2231840763cfe86372f1953c3b68efed5a%22	https://static.binancecnt.com/static/land-page/brige.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/brige.png	(from https://syncbinancnt.online/)
21:20:10	43832/43832	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2020:20:09%20GMT	https://syncbinancnt.online/wallets/	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/wallets/index.html	(from https://syncbinancnt.online/)
21:20:10	179/179	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Nov%202022%2020:20:10%20GMT	https://syncbinancnt.online/en/business/	C:/My%20Web%20Sites/binanceconnect/syncbinancnt.online/en/business/index.html	(from https://syncbinancnt.online/)
21:20:13	49818/49818	---M--	200	added ('OK')	image/png	etag:%2246300572f8a876b8d0134eaa3af990b2%22	https://static.binancecnt.com/static/land-page/nft.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/nft.png	(from https://syncbinancnt.online/)
21:20:13	2056/2056	---M--	200	added ('OK')	image/png	etag:%221f7635e9d0867f13fd96cf382a93868d%22	https://static.binancecnt.com/static/land-page/fiat-icons/usd.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/usd.png	(from https://syncbinancnt.online/)
21:20:14	2142/2142	---M--	200	added ('OK')	image/png	etag:%222e2eb17538126d663f7fc3ad3247161a%22	https://static.binancecnt.com/static/land-page/fiat-icons/eur.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/eur.png	(from https://syncbinancnt.online/)
21:20:14	1701/1701	---M--	200	added ('OK')	image/png	etag:%228c85e33b628306dfa120fe71398effe4%22	https://static.binancecnt.com/static/land-page/fiat-icons/php.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/php.png	(from https://syncbinancnt.online/)
21:20:15	2266/2266	---M--	200	added ('OK')	image/png	etag:%22fc615172bf0b5134e2821a52f5dbaa3e%22	https://static.binancecnt.com/static/land-page/fiat-icons/aud.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/aud.png	(from https://syncbinancnt.online/)
21:20:15	1935/1935	---M--	200	added ('OK')	image/png	etag:%2287fcb49beee66cb340a416d6ecaf2132%22	https://static.binancecnt.com/static/land-page/fiat-icons/gbp.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/gbp.png	(from https://syncbinancnt.online/)
21:20:15	546240/546240	---M--	200	added ('OK')	image/png	etag:%224ad4e4c913440962b088561d3e91206e%22	https://static.binancecnt.com/static/land-page/header.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/header.png	(from https://syncbinancnt.online/)
21:20:15	1757/1757	---M--	200	added ('OK')	image/png	etag:%221598d8afb7ed9b2beb9f95e5b31910d7%22	https://static.binancecnt.com/static/land-page/fiat-icons/rub.png	C:/My%20Web%20Sites/binanceconnect/static.binancecnt.com/static/land-page/fiat-icons/rub.png	(from https://syncbinancnt.online/)
